NO.,KODE PUSK.,NAMA PUSKESMAS,ALAMAT,Kota_Kabupaten,PONED,JENIS PUSKESMAS,full_address,location,latitude,longitude
1,P3201010101,NANGGUNG,"Jl. Ace Tabrani Km 5, Kec. Nanggung",Bogor,1.0,1,"Jl. Ace Tabrani Km 5, Kec. Nanggung, Bogor, Indonesia","Jl. Raya Ace Tabrani No.km 5, Parakan Muncang, Kec. Nanggung, Kabupaten Bogor, Jawa Barat 16650, Indonesia",-6.5784693,106.5482501
2,P3201010202,CURUG BITUNG,"Kp. Cibeber Nanggung, Kec. Nanggung",Bogor,,2,"Kp. Cibeber Nanggung, Kec. Nanggung, Bogor, Indonesia","Jl. Raya Cibeber Nanggung, Curug Bitung, Kec. Nanggung, Kabupaten Bogor, Jawa Barat 16650, Indonesia",-6.6257024,106.5413221
3,P3201020101,LEUWILIANG,"Jl. Raya Moch. Noor No. 3, Kec. Leuwiliang",Bogor,,1,"Jl. Raya Moch. Noor No. 3, Kec. Leuwiliang, Bogor, Indonesia","Leuwiliang, Bogor Regency, West Java, Indonesia",-6.5741514,106.6320005
4,P3201020202,PURASEDA,"Kp. Gudang, Kec. Leuwiliang",Bogor,,2,"Kp. Gudang, Kec. Leuwiliang, Bogor, Indonesia","CJJM+GVC Kolam Pemancingan BTS, Karyasari, Kec. Leuwiliang, Kabupaten Bogor, Jawa Barat 16640, Indonesia",-6.5686767,106.6346562
5,P3201020203,SADENG PASAR,"Ds. Sadeng Pasar, Kec. Leuwiliang",Bogor,,2,"Ds. Sadeng Pasar, Kec. Leuwiliang, Bogor, Indonesia","Jl. Raya Sadeng Ps., Kec. Leuwisadeng, Kabupaten Bogor, Jawa Barat 16640, Indonesia",-6.568917,106.5863278
6,P3201021201,LEUWISADENG,"Kp. Joglo, Kec. Luewisadeng",Bogor,,2,"Kp. Joglo, Kec. Luewisadeng, Bogor, Indonesia","Jl. Joglo Raya No.25, RT.13/RW.02, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",-6.2177919,106.7571974
7,P3201030201,PAMIJAHAN,"Kp. Pasar Jum' at Rt. 02/05, Kec. Pamijahan",Bogor,,2,"Kp. Pasar Jum' at Rt. 02/05, Kec. Pamijahan, Bogor, Indonesia","8MH7+3HF, Jl. Raya Gn. Salak Endah Jl. Raya Ps. Jumat No.Kp, RT.004/RW.006, Gn. Sari, Kec. Pamijahan, Kabupaten Bogor, Jawa Barat 16810, Indonesia",-6.672197100000001,106.6640547
8,P3201030202,CIBENING,"Ds. Cibening, Kec. Pamijahan",Bogor,,2,"Ds. Cibening, Kec. Pamijahan, Bogor, Indonesia","Cibening, Pamijahan, Bogor Regency, West Java, Indonesia",-6.6298036,106.67924
9,P3201030203,CIASMARA,"Jl. Raya KH Abd. Hamid km 15, Kec. Pamijahan",Bogor,,2,"Jl. Raya KH Abd. Hamid km 15, Kec. Pamijahan, Bogor, Indonesia","Jl. KH. Abdul Hamid No.Km. 15, Ciasmara, Kec. Pamijahan, Kabupaten Bogor, Jawa Barat 16810, Indonesia",-6.6848068,106.6487031
10,P3201040101,CIBUNGBULANG,"Jl. Raya Bungbulang Km 4, Kec. Cibungbulang",Bogor,1.0,1,"Jl. Raya Bungbulang Km 4, Kec. Cibungbulang, Bogor, Indonesia","Cibungbulang, Bogor Regency, West Java, Indonesia",-6.5749662,106.6606641
