KODE PUSK.,NAMA PUSKESMAS,JENIS PUSKESMAS,latitude,longitude
P3201010101,NANGGUNG,1,-6.5784693,106.5482501
P3201010202,CURUG BITUNG,2,-6.6257024,106.5413221
P3201020101,LEUWILIANG,1,-6.5741514,106.6320005
P3201020202,PURASEDA,2,-6.5686767,106.6346562
P3201020203,SADENG PASAR,2,-6.568917,106.5863278
P3201021201,LEUWISADENG,2,-6.2177919,106.7571974
P3201030201,PAMIJAHAN,2,-6.672197100000001,106.6640547
P3201030202,CIBENING,2,-6.6298036,106.67924
P3201030203,CIASMARA,2,-6.6848068,106.6487031
P3201040101,CIBUNGBULANG,1,-6.5749662,106.6606641
P3201040202,CIJUJUNG,2,-6.575929,106.6482624
P3201040203,SITU UDIK,2,-6.6157102,106.6570077
P3201050201,CIAMPEA,2,-6.5549198,106.696144
P3201050202,PASIR,2,-6.591831,106.7018735
P3201050203,CIAMPEA UDIK,2,-6.586017399999999,106.7559004
P3201050204,CIHIDEUNG UDIK,2,-6.5834237,106.7190411
P3201051201,TENJOLAYA,2,-6.6328067,106.6941444
P3201060101,DARMAGA,1,-6.5817553,106.7462706
P3201060202,CANGKURAWOK,2,-6.5521707,106.7324825
P3201060203,KAMPUNG MANGGIS,2,-6.5788476,106.7622961
P3201060204,PURWASARI,2,-6.615505,106.7273847
P3201070101,CIOMAS,1,-6.585306399999999,106.6891051
P3201070202,CIAPUS,2,-6.6139005,106.7507608
P3201070203,KOTA BATU,2,-6.6206993,106.7828166
P3201070204,LALADON,2,-6.5817273,106.758694
P3201071201,TAMANSARI,2,-6.6382693,106.7323097
P3201071202,SIRNA GALIH,2,-6.639074799999999,106.7780574
P3201071203,SUKARESMI,2,-6.6377482,106.7497372
P3201080201,CIJERUK,2,-6.6752696,106.7870524
P3201080202,CIBURAYUT,2,-6.7198397,106.7927658
P3201080203,SUKAHARJA,2,-6.6928652,106.7934247
P3201081101,CIGOMBONG,1,-6.6345451,106.6910322
P3201090201,CARINGIN,2,-6.7046463,106.81942
P3201090202,CINAGARA,2,-6.752176,106.8620891
P3201090203,CIDERUM,2,-6.679204899999999,106.8318497
P3201100201,CIAWI,2,-6.6686229,106.847726
P3201100202,BANJARSARI,2,-6.683679,106.8694651
P3201100203,CITAPEN,2,-6.7036146,106.8869674
P3201110201,CISARUA,2,-6.6840347,106.9512553
P3201110202,CIBULAN,2,-6.6806103,106.9322405
P3201120201,MEGAMENDUNG,2,-6.6401084,106.8716837
P3201120202,SUKAMANAH,2,-6.6841675,106.8981823
P3201130201,CILEBUT,2,-6.5885498,106.839355
P3201130102,CIMANDALA,1,-6.515313099999999,106.838281
P3201130103,SUKARAJA,1,-6.586931,106.8454207
P3201140201,BABAKAN MADANG,2,-6.5483469,106.8529094
P3201140202,CIJAYANTI,2,-6.5948213,106.8646685
P3201140203,SENTUL,2,-6.5258492,106.8580755
P3201150101,SUKAMAKMUR,1,-6.616081599999999,107.0007987
P3201150202,SUKADAMAI,2,-6.5548655,107.062802
P3201160201,CARIU,2,-6.509605,107.1302441
P3201160202,KARYAMEKAR,2,-6.5507564,107.1071
P3201161101,TANJUNGSARI,1,-6.5486328,106.7723511
P3201170101,JONGGOL,1,-6.462941,107.0672322
P3201170202,BALEKAMBANG,2,-6.5132126,107.0805202
P3201170203,SUKANEGARA,2,-6.5398176,107.0301679
P3201180201,CILEUNGSI,2,-6.402271799999999,106.9704941
P3201180202,GANDOANG,2,-6.4118694,107.0100285
P3201180203,PASIR ANGIN,2,-6.3949048,106.9743685
P3201180204,BOJONG,2,-6.3738681,106.9864686
P3201181201,KELAPA NUNGGAL,2,-6.4514269,106.9388118
P3201190101,GUNUNG PUTRI,1,-6.4168954,106.9374964
P3201190202,CIANGSANA,2,-6.3205668,106.9615875
P3201190203,KRANGGAN,2,-6.339585599999999,106.922975
P3201190204,BOJONG NANGKA,2,-6.4218015,106.9019911
P3201200101,CITEUREUP,1,-6.4954195,106.8596094
P3201200202,LEUWINUTUG,2,-6.4954195,106.8596094
P3201200203,TAJUR,2,-6.4954195,106.8596094
P3201210201,CIBINONG,2,-6.4709996,106.8499635
P3201210202,CIRIMEKAR,2,-6.4736804,106.8536016
P3201210203,KARADENAN,2,-6.5182585,106.8082216
P3201210204,PABUARAN INDAH,2,-6.4437918,106.8466881
P3201210205,SULIWER,2,-6.487495000000001,106.8496222
P3201220201,BOJONG GEDE,2,-6.4960615,106.7947017
P3201220202,RAGAJAYA,2,-6.442759,106.7750445
P3201220203,KEMUNING,2,-6.502131,106.7734617
P3201221201,TAJURHALANG,2,-6.4758182,106.7578498
P3201230201,KEMANG,2,-6.4770259,106.7301359
P3201230202,JAMPANG,2,-6.4833072,106.7320705
P3201231201,RANCA BUNGUR,2,-6.5379916,106.7312575
P3201240201,PARUNG,2,-6.4222402,106.7325943
P3201240202,BANTAR JAYA,2,-6.538972,106.7369369
P3201241201,CISEENG,2,-6.4492597,106.6779359
P3201241202,CIBEUTEUNG UDIK,2,-6.4906164,106.6894366
P3201250201,GUNUNG SINDUR,2,-6.3847562,106.6804186
P3201250202,COGREG,2,-6.4368613,106.6951991
P3201260101,RUMPIN,1,-6.4338847,106.7126772
P3201260202,CICANGKAL,2,-6.407839,106.6374435
P3201260203,GOBANG,2,-6.5082425,106.6519869
P3201270101,CIGUDEG,1,-6.5522735,106.5371411
P3201270202,LEBAK WANGI,2,-6.4301094,106.526721
P3201270203,BUNAR,2,-6.5183124,106.4981786
P3201271101,SUKAJAYA,1,-6.5895984,106.4899491
P3201271202,KIARA PANDAK,2,-6.5895984,106.4899491
P3201280101,JASINGA,1,-6.4621839,106.4599783
P3201280202,CURUG,2,-6.500314599999999,106.4103428
P3201280203,BAGOANG,2,-6.422545,106.4562429
P3201290101,TENJO,1,-6.3145573,106.4781618
P3201290202,PASAR REBO,2,-6.3781836,106.4382025
P3201300101,PARUNG PANJANG,1,-6.341754,106.569853
P3201300202,DAGO,2,-6.3529336,106.5597076
P3202010201,CIEMAS,2,-7.1928358,106.481884
P3202010202,TAMANJAYA,2,-7.1921046,106.5153727
P3202020201,CIRACAP,2,-7.316853800000001,106.50538
P3202021201,WALURAN,2,-7.2166489,106.5899229
P3202030201,SURADE,2,-7.373496,106.5234155
P3202030202,BUNIWANGI,2,-7.380528199999999,106.543676
P3202031201,CIBITUNG,2,-7.3604748,106.617578
P3202040201,JAMPANG KULON,2,-7.1471104,106.569212
P3202040202,CIMANGGU,2,-7.245533500000001,106.6733441
P3202050201,KALIBUNDER,2,-7.2360801,106.7175669
P3202060201,TEGAL BULED,2,-7.402557799999999,106.7175669
P3202060202,BANGBAYANG,2,-6.949881299999999,106.5817317
P3202070201,CIDOLOG,2,-7.3176333,106.8435828
P3202080101,SAGARANTEN,1,-7.0152873,106.9209079
P3202081201,CIDADAP,2,-7.2943194,106.9379424
P3202082201,CURUG KEMBAR,2,-7.2151673,106.938258
P3202090201,PABUARAN,2,-7.204636799999999,106.8332675
P3202100101,LENGKONG,1,-7.1268292,106.6832636
P3202110201,PELABUHAN RATU,2,-7.0114662,106.5669302
P3202110202,CITARIK,2,-6.9918507,106.5878723
P3202111201,SIMPENAN,2,-7.023358399999999,106.5760857
P3202120201,WARUNG KIARA,2,-6.9808716,106.7132159
P3202121201,BANTAR GADUNG,2,-6.9713464,106.8632221
P3202130101,JAMPANG TENGAH,1,-7.070097,106.7794556
P3202131201,PURABAYA,2,-7.0998731,106.8803817
P3202140201,CIKEMBAR,2,-6.9643669,106.7996896
P3202150201,NYALINDUNG,2,-7.0419836,106.9451676
P3202150202,CIJANGKAR,2,-7.2170642,106.8844643
P3202160201,GEGER BITUNG,2,-6.9825085,107.0264908
P3202170201,SUKARAJA,2,-6.9186063,106.9594718
P3202170202,LIMBANGAN,2,-6.889089100000001,106.9649673
P3202171201,KEBON PEDES,2,-6.9495818,106.9683273
P3202172201,CIREUNGHAS,2,-6.9576259,107.0366888
P3202173201,SUKALARANG,2,-6.9181832,107.0017178
P3202180201,KARAWANG,2,-6.888005499999999,106.9418497
P3202190201,KADU DAMPIT,2,-6.8605761,106.9182278
P3202200201,CISAAT,2,-6.912503399999999,106.8871687
P3202200202,SELAJAMBE,2,-6.8874819,106.8884788
P3202201201,GUNUNGGURUH,2,-6.9694665,106.8670608
P3202201202,CIBOLANGKIDUL,2,-6.9157334,106.8847403
P3202210201,CIBADAK,2,-6.894206,106.7995832
P3202210202,SEKARWANGI,2,-6.9010539,106.8417633
P3202211201,CICANTAYAN,2,-6.9104283,106.8607375
P3202212201,CARINGIN,2,-6.8732097,106.869669
P3202220101,NAGRAK,1,-6.8640394,106.7200348
P3202220202,GIRIJAYA,2,-6.8615026,106.8448654
P3202221201,CIAMBAR,2,-6.8174331,106.7973411
P3202230101,CICURUG,1,-6.7823422,106.782581
P3202230202,CIPARI,2,-6.8354862,106.6969303
P3202240201,CIDAHU,2,-6.7495347,106.7175669
P3202250201,PARAKAN SALAK,2,-6.798619299999999,106.7087835
P3202260201,PARUNGKUDA,2,-6.8087843,106.7699095
P3202261201,BOJONG GENTENG,2,-6.8558485,106.702825
P3202270201,KELAPA NUNGGAL,2,-6.8235612,106.6607734
P3202280201,CIKIDANG,2,-6.8963486,106.6478085
P3202290201,CISOLOK,2,-6.9545095,106.4354078
P3202291201,CIKAKAK,2,-6.960575,106.4940197
P3202300201,KABANDUNGAN,2,-6.7968636,106.6229077
P3203010201,AGRABINTA,2,-7.4186711,106.9020142
P3203011201,PUSAKASARI,2,-7.3758117,106.9817944
P3203020101,SINDANG BARANG,1,-7.4594805,107.1546037
P3203030101,CIDAUN,1,-7.332352999999999,107.4499404
P3203040201,NARINGGUL,2,-7.337043599999999,107.3316667
P3203050201,CIBINONG,2,-7.318263,107.1281071
P3203050202,GUNUNG BITUNG,2,-7.2896815,107.120271
P3203050203,GIRIJAYA,2,-7.2492195,107.1898113
P3203051201,CIKADU,2,-7.325499000000001,107.2522198
P3203060201,TANGGEUNG,2,-7.2713586,107.1203909
P3203070201,KADUPANDAK,2,-7.2586365,107.0465615
P3203071201,BOJONGLARANG,2,-7.269364500000001,107.0037509
P3203071202,CIJATI,2,-7.2578494,107.0332746
P3203080201,TAKOKAK,2,-7.0500696,107.0038539
P3203090101,SUKANAGARA,1,-7.1329373,107.1209772
P3203100101,PAGELARAN,1,-8.1916593,112.6229752
P3203100202,SINDANGKERTA,2,-7.181174800000001,107.1395903
P3203110201,CAMPAKA,2,-7.003038,107.1429668
P3203111201,CAMPAKAMULYA,2,-7.0719794,107.1781718
P3203120201,CIBEBER,2,-6.9362613,107.1228811
P3203120202,CIBAREGBEG,2,-6.9110023,107.1750393
P3203130201,WARUNGKONDANG,2,-6.8735217,107.0924023
P3203131201,GEKBRONG,2,-6.8675285,107.0396968
P3203140201,SUKASARI,2,-6.8825642,107.125573
P3203150201,SUKALUYU,2,-6.8420289,107.2282225
P3203160201,BOJONGPICUNG,2,-6.8444375,107.2708323
P3203160202,CIKONDANG,2,-6.8691102,107.2288777
P3203170101,CIRANJANG,1,-6.8144515,107.2437479
P3203161201,CIPEUYEUM,2,-6.8152806,107.2975003
P3203180101,MANDE,1,-6.7710117,107.1912548
P3203180202,KADEMANGAN,2,-6.7694482,107.1944915
P3203190201,KARANG TENGAH,2,-6.807247299999999,107.1588715
P3203190202,CIHERANG,2,-6.8019589,107.2112027
P3203200201,CIANJUR KOTA,2,-6.8266012,107.1357416
P3203200202,NAGRAK,2,-6.8308143,107.1179282
P3203200203,MUKA,2,-6.810542000000001,107.1479055
P3203210201,CUGENANG,2,-6.802552899999999,107.0603507
P3203210202,CIJEDIL,2,-6.801410499999999,107.0888562
P3203220201,CIPENDAWA,2,-6.7491507,107.0484317
P3203220202,SUKANAGALIH,2,-6.7092195,107.0568962
P3203221201,CIPANAS,2,-6.719864800000001,107.0317582
P3203230101,SUKARESMI,1,-6.733116,107.0842468
P3203230202,SUKAMAHI,2,-6.699999999999999,107.1
P3203240101,CIKALONGKULON,1,-6.7167673,107.2131674
P3203240202,CIJAGANG,2,-6.7003882,107.1813864
P3204010201,CIWIDEY,2,-7.084922499999999,107.4461432
P3204010202,RAWABOGO,2,-7.0663918,107.4351532
P3204011201,RANCABALI,2,-7.145749,107.3884992
P3204020201,PASIR JAMBU,2,-7.0941717,107.4831256
P3204020202,SUGIHMUKTI,2,-7.2026011,107.4558555
P3204040101,PANGALENGAN DTP,1,-7.175287200000001,107.5708808
P3204040202,SUKAMANAH,2,-7.204665800000001,107.6008169
P3204040203,WARNASARI,2,-7.1953417,107.5090974
P3204030201,CIKALONG,2,-7.1208037,107.5553305
P3204030202,CAMPAKAMULYA,2,-7.1039398,107.5919508
P3204050201,KERTA SARI,2,-7.1892838,107.6629672
P3204050202,SANTOSA,2,-7.251945000000001,107.636803
P3204060201,PACET,2,-7.1051896,107.7047129
P3204060202,PANCA,2,-7.122259499999999,107.7251314
P3204070201,IBUN,2,-7.1307171,107.772504
P3204070202,SUDI,2,-7.0805827,107.7680624
P3204080201,PASEH,2,-7.0550098,107.7788775
P3204080202,CIPEDES,2,-7.0331395,107.7947126
P3204090201,CIKANCUNG,2,-7.0135586,107.8295997
P3204090202,CILULUK,2,-7.0377637,107.8111735
P3204100101,CICALENGKA DTP,1,-6.986789399999999,107.8391164
P3204100202,SAWAHLEGA,2,-7.0007183,107.8690784
P3204101201,NAGREG,2,-7.0153265,107.8783287
P3204110101,RANCA EKEK DTP,1,-6.9672737,107.7649114
P3204110202,LINGGAR,2,-7.049716,107.8996224
P3204110203,NANJUNGMEKAR,2,-6.9693991,107.827293
P3204120201,CIKARO,2,-6.966195000000001,107.7728916
P3204120202,MAJALAYA,2,-7.0517978,107.7458559
P3204120203,WANGISAGARA,2,-7.0728923,107.7067149
P3204121202,PADAMUKTI,2,-7.023781,107.774989
P3204121201,SOLOKAN JERUK,2,-7.01147,107.7489814
P3204130101,CIPARAY DTP,1,-6.9662329,107.6351892
P3204130202,PAKUTANDANG,2,-7.049371499999999,107.708849
P3204130203,SUMBERSARI,2,-7.0045509,107.7014482
P3204140201,BALEENDAH,2,-7.0073243,107.6238643
P3204140202,JELEKONG,2,-7.0728923,107.7067149
P3204140203,RANCAMANYAR,2,-6.988033,107.5948986
P3204150201,ARJASARI,2,-7.0449328,107.6089908
P3204150102,BANJARAN NAMBO DTP,1,-7.0459926,107.5963782
P3204161201,NAGRAK,2,-7.0625219,107.5539997
P3204160201,KIANGROKE,2,-7.053889,107.5719776
P3204160202,BANJARAN,2,-7.047687199999999,107.5836555
P3204170201,PAMEUNGPEUK,2,-7.024748000000001,107.5944494
P3204180201,KATAPANG,2,-7.010297599999999,107.5507283
P3204180202,SANGKAN HURIP,2,-7.003500499999999,107.5765505
P3204190201,SOREANG,2,-7.0232604,107.5211127
P3204190202,SUKAJADI,2,-7.0272463,107.5388578
P3204191201,KUTAWARINGIN,2,-6.975504099999999,107.5179721
P3204191202,KOPO,2,-6.960391,107.581376
P3204250201,MARGA ASIH,2,-6.9310528,107.5402073
P3204250202,RAHAYU,2,-6.9628079,107.5597657
P3204260201,BIHBUL,2,-6.9618391,107.5786351
P3204260202,MARGAHAYU SELATAN,2,-6.9690053,107.5537058
P3204270201,DAYEUH KOLOT,2,-6.9896686,107.6273354
P3204270202,CANGKUANG,2,-6.9738139,107.5946204
P3204280201,BOJONGSOANG,2,-6.9673508,107.6375513
P3204290201,CINUNUK,2,-6.9386562,107.7350187
P3204290202,CILEUNYI,2,-6.9398342,107.7535199
P3204290203,CIBIRU HILIR,2,-6.968032099999999,107.7132895
P3204300201,CILENGKRANG,2,-6.906132,107.6999744
P3204310201,CIMENYAN,2,-6.8884485,107.6603545
P3204310202,CIBEUNYING,2,-6.9136898,107.6638337
P3205010101,CISEWU DTP,1,-7.3615832,107.497265
P3205011201,SUKA RAME,2,-7.5000389,107.5000681
P3205020201,TALEGONG,2,-7.2883017,107.5269985
P3205030101,BUNGBULANG DTP,1,-7.456006,107.5998837
P3205050101,SINDANGRATU DTP,1,-7.4507684,107.6436
P3205031201,MEKARMUKTI,2,-7.5009318,107.5788327
P3205040201,PAMULIHAN,2,-7.3737257,107.7103291
P3205040202,CISANDAAN,2,-7.456045,107.5997796
P3205060201,CIKELET,2,-7.6144502,107.6772682
P3205060202,CIMARI,2,-7.5783918,107.6570475
P3205070101,PEMEUNGPEUK DTP,1,-7.6409831,107.7325797
P3205080201,CIBALONG,2,-7.6748443,107.7834044
P3205080202,MAROKO,2,-7.6174516,107.902819
P3205090201,CISOMPET,2,-7.548691199999999,107.8127623
P3205100201,PEUNDEUY,2,-7.603651,107.916284
P3205110101,SINGA JAYA DTP,1,-7.4847517,107.8988527
P3205111201,CIHURIP,2,-7.4925543,107.8590894
P3205120101,CIKAJANG DTP,1,-7.4788207,107.8342517
P3205130201,BANJAR WANGI,2,-7.4376482,107.9043202
P3205140101,CILAWU DTP,1,-7.319356000000001,107.9334822
P3205140202,BOJONGLOA,2,-7.320155999999999,107.9324921
P3205150101,BAYONGBONG DTP,1,-7.266462100000001,107.8160862
P3205150202,CILIMUS,2,-7.248923599999999,107.877538
P3205151201,SUKAHURIP,2,-7.216569,107.9061442
P3205160101,CISURUPAN DTP,1,-7.3095348,107.7934055
P3205160202,PAKUWON,2,-7.2157251,107.901989
P3205161201,SUKAMULYA,2,-7.2587037,107.8021158
P3205170201,SAMARANG,2,-7.2208283,107.8379593
P3205170202,SUKAKARYA,2,-7.218311199999999,107.8412619
P3205171201,PADAWAAS,2,-7.2157305,107.7838488
P3205171202,GADOG,2,-7.2157305,107.7838488
P3205181201,HAUR PANGGUNG,2,-7.2008511,107.9053978
P3205181202,KERSAMENAK,2,-7.2344744,107.8634363
P3205181203,PEMBANGUNAN,2,-7.205573999999999,107.8872997
P3205182201,CIPANAS,2,-7.161906999999999,107.9019057
P3205182102,TAROGONG DTP,1,-7.190262600000001,107.896909
P3205182203,MEKARWANGI,2,-7.212150400000001,107.8473507
P3205190201,SILIWANGI,2,-7.216807900000001,107.9033514
P3205190202,GUNTUR,2,-7.214786099999999,107.9138899
P3205190203,PASUNDAN,2,-7.2275485,107.9057757
P3205200201,KARANGPAWITAN,2,-7.2076933,107.9452858
P3205200202,KARANGMULYA,2,-7.2119139,107.9313874
P3205200203,CEMPAKA,2,-7.226930500000001,107.9331848
P3205210101,WANARAJA DTP,1,-7.1779978,107.9787814
P3205211201,GARAWANGSA,2,-7.1980434,107.993185
P3205212201,CIMARAGAS,2,-7.1578549,107.9934787
P3205220201,SUKAWENING,2,-7.1604654,108.0074176
P3205220202,SUKA MUKTI,2,-7.158269499999999,108.0198557
P3205220203,MARIPARI,2,-7.1391886,107.9892017
P3205221201,KARANGTENGAH,2,-7.1498547,108.0687579
P3205230201,SUKA SENANG,2,-7.180202599999999,107.9299564
P3205230202,BAGENDIT,2,-7.159019,107.9368882
P3205230203,SUKARAJA,2,-7.1473506,107.8990384
P3205240101,LELES DTP,1,-7.1091224,107.8987549
P3205240202,LEMBANG,2,-7.117117599999999,107.8554249
P3205250201,LEUWIGOONG,2,-7.0667519,107.96332
P3205260101,CIBATU DTP,1,-7.0968028,107.9841551
P3205261201,SUKAMERANG,2,-7.0557206,108.0089491
P3205270201,CIBIUK,2,-7.0642934,107.9639199
P3205280201,RANCASALAK,2,-7.0832979,107.8799282
P3205280202,KADUNGORA,2,-7.0846395,107.898608
P3205290101,BALUBUR LIMBANGAN D,1,-7.0372849,107.9774014
P3205300201,SELAAWI,2,-7.0041478,108.0227497
P3205310101,MALANGBONG DTP,1,-7.061878,108.086985
P3205310202,CITERAS,2,-7.0579749,108.0590853
P3206010101,CIPATUJAH,1,-7.734471499999999,108.0192361
P3206020101,KARANG NUNGGAL,1,-7.631289199999999,108.1141195
P3206030101,CIKALONG,1,-7.7926261,108.2116501
P3206040201,PANCATENGAH,2,-7.6929772,108.2667585
P3206050101,CIKATOMAS,1,-7.6338261,108.2375801
P3206060201,CIBALONG,2,-7.516667,108.166667
P3206061201,PARUNGPONTENG,2,-7.5062362,108.147686
P3206070201,BANTARKALONG,2,-7.6296217,108.104328
P3206071101,BOJONGASIH,1,-7.5761879,108.1399022
P3206072201,CULAMEGA,2,-7.595910099999998,108.0589354
P3206080201,BOJONGGAMBIR,2,-7.484175199999999,107.985777
P3206090201,SODONGHILIR,2,-7.4915539,108.0569021
P3206100101,TARAJU,1,-7.4479226,108.0285385
P3206110201,SALAWU,2,-7.3769848,108.0377658
P3206111201,PUSPAHIANG,2,-7.414506899999999,108.0494139
P3206120201,TANJUNGJAYA,2,-7.4049526,108.1458316
P3206130101,SUKARAJA,1,-7.475609,108.195756
P3206140201,SALOPA,2,-7.5159065,108.2724176
P3206141201,JATIWARAS,2,-7.4845259,108.2229243
P3206150201,CINEAM,2,-7.398918699999999,108.350464
P3206160101,MANONJAYA,1,-7.351134699999999,108.3087658
P3206161201,GUNUNGTANJUNG,2,-7.409309500000001,108.2881709
P3206190201,SINGAPARNA,2,-7.350303,108.1253899
P3206190102,TINEWATI,1,-7.3454591,108.1333671
P3206191101,SUKARAME,1,-7.3588922,108.1339729
P3206192201,MANGUNREJA,2,-7.370715899999999,108.0983994
P3206200101,CIGALONTANG,1,-7.35,108.016667
P3206210201,LEUWI SARI,2,-7.318761800000001,108.104328
P3206210202,KARANGJAYA,2,-7.317330699999999,108.0810962
P3206211201,SARIWANGI,2,-7.326264,108.0791321
P3206212201,CISARUNI,2,-7.3490408,108.1089728
P3206221101,SUKARATU,1,-7.266121999999999,108.1280437
P3206230201,CISAYONG,2,-7.259984199999999,108.1517612
P3206231201,SUKAHENING,2,-7.208618899999999,108.1458316
P3206240101,RAJAPOLAH,1,-7.2237487,108.1858582
P3206250101,JAMANIS,1,-7.191089600000001,108.1753701
P3206260101,CIAWI,1,-7.1573645,108.1561508
P3206261201,KADIPATEN,2,-7.161097799999999,108.1413845
P3206270201,PAGERAGEUNG,2,-7.112278099999999,108.1649523
P3206271201,SUKARESIK,2,-7.1643268,108.1888233
P3207010201,CIMERAK,2,-7.7344506,108.3810017
P3207010202,LEGOKJAWA,2,-7.810539599999999,108.4216702
P3207020101,CIJULANG,1,-7.729373799999999,108.4720357
P3207030201,CIGUGUR,2,-7.632775499999999,108.4163784
P3207040201,LANGKAPLANCAR,2,-7.533344700000001,108.4127686
P3207050101,PARIGI,1,-7.704104500000001,108.4933956
P3207050202,SELASARI,2,-7.6220442,108.5194053
P3207060201,CIKEMBULAN,2,-7.6772255,108.62972
P3207060202,SIDAMULIH,2,-7.6434343,108.6087875
P3207070101,PANGANDARAN,1,-7.683332999999999,108.65
P3207080101,KALIPUCANG,1,-7.6496177,108.7535505
P3207090101,PADAHERANG,1,-7.543898899999999,108.6930549
P3207090202,SINDANGWANGI,2,-7.6453352,108.7526916
P3207091101,MANGUNJAYA,1,-6.2523411,107.0585458
P3207100101,BANJARSARI,1,-7.4888007,108.6159947
P3207100202,CIULU,2,-7.526239800000001,108.6806956
P3207100203,CIGAYAM,2,-7.4936664,108.5522531
P3207110101,LAKBOK,1,-7.3969871,108.6792847
P3207110202,SIDAHARJA,2,-7.4229904,108.698586
P3207111201,CIAWITALI,2,-7.4489346,108.655094
P3207120201,PAMARICAN,2,-7.4407853,108.5209075
P3207120202,KERTAHAYU,2,-7.472478499999998,108.5989579
P3207130201,CIDOLOG,2,-7.395856500000001,108.426179
P3207140101,CIMARAGAS,1,-7.3627273,108.3639264
P3207150201,CIJEUNGJING,2,-7.346704300000001,108.4316061
P3207150202,HANDAPHERANG,2,-7.3427921,108.3781398
P3207160201,CISAGA,2,-7.3294437,108.3964587
P3207170201,TAMBAKSARI,2,-7.248506,108.5340942
P3207180101,RANCAH,1,-7.195914500000001,108.5166348
P3207190201,RAJADESA,2,-7.1827101,108.4339754
P3207200201,MARGAHARJA,2,-7.304939900000001,108.4144472
P3207210201,CIAMIS,2,-7.3291938,108.3515909
P3207210202,IMBANAGARA,2,-7.321942999999999,108.3074509
P3207211201,BAREGBEG,2,-7.3040976,108.363814
P3207220201,SINDANGKASIH,2,-7.307131399999999,108.2429813
P3207220202,MANDALIKA,2,-7.320587600000001,108.2778624
P3207230201,CIHAURBEUTI,2,-7.2240856,108.2010421
P3207230202,SUKAMULYA,2,-7.130838799999999,108.2658665
P3207240201,SADANANYA,2,-7.2677375,108.3139627
P3207250101,CIPAKU,1,-7.249199399999999,108.3759245
P3207250202,CIEURIH,2,-7.214861999999999,108.3549334
P3207260201,JATINAGARA,2,-7.1827101,108.4339754
P3207270101,GARDUJAYA,1,-6.7320229,108.5523164
P3207270202,PANAWANGAN,2,-7.1863871,108.3653852
P3207280101,KAWALI,1,-7.185105699999999,108.3696329
P3207280202,LUMBUNG,2,-7.1694381,108.3534945
P3207280203,KAWALIMUKTI,2,-7.186482100000001,108.3699536
P3207290101,PANJALU,1,-7.1328789,108.2675357
P3207291101,SUKAMANTRI,1,-7.088426699999999,108.2808138
P3207300101,PANUMBANGAN,1,-7.1959767,108.1853141
P3207300202,PAYUNGSARI,2,-7.123468399999999,108.2334538
P3207041202,JADIKARYA,2,-7.568698400000001,108.4928912
P3208010101,DARMA,1,-7.0027166,108.4102263
P3208020201,KADUGEDE,2,-7.0042382,108.4519962
P3208021201,NUSAHERANG,2,-7.001489899999999,108.430572
P3208030201,CINIRU,2,-7.019413800000001,108.471623
P3208031201,HANTARA,2,-7.057032599999999,108.4543113
P3208040101,SELAJAMBE,1,-6.9689659,108.48805
P3208050201,SUBANG,2,-7.0138053,108.5700636
P3208051201,CILEBAK,2,-7.133332999999999,108.583333
P3208061201,KARANGKENCANA,2,-7.095716899999999,108.6596232
P3208070101,CIBINGBIN,1,-7.0541873,108.7587769
P3208071201,CIBEUREUM,2,-7.0520167,108.7313756
P3208071202,CIWARU,2,-7.096783299999999,108.6623175
P3208080101,LURAGUNG,1,-7.0163148,108.6315676
P3208081201,CIMAHI,2,-6.9830741,108.6947617
